Team,Match,Alliance,Time,X,Y
3826,54,blue,80.5,2,20
3826,54,blue,121.4,28,18
4683,54,blue,12.1,2,10
4683,54,blue,30.9,2,20
4683,54,blue,136.5,0,20
4173,55,red,104.0,36,14
4173,55,red,125.9,28,8
1778,55,red,5.3,44,8
1778,55,red,22.5,40,4
1778,55,red,76.9,40,6
2412,55,blue,15.5,6,22
2412,55,blue,124.8,10,20
2412,55,blue,134.3,8,20
4918,55,blue,67.6,22,24
4918,55,blue,84.6,24,16
4918,55,blue,99.7,20,16
4918,55,blue,134.4,22,16
1899,55,blue,100.7,18,22
1899,55,blue,124.8,28,18
1899,55,blue,131.7,28,16
4512,56,red,9.3,42,4
4512,56,red,16.6,40,4
4089,56,red,49.3,46,12
4089,56,red,99.6,46,6
4089,56,red,117.4,36,16
4089,56,red,150.2,42,20
4513,56,red,3.9,42,6
4513,56,red,29.4,38,8
4513,56,red,83.9,40,18
949,56,blue,8.8,6,20
4681,56,blue,127.9,24,16
2903,56,blue,44.8,6,16
2903,56,blue,99.6,4,14
4911,57,red,1.3,4,14
4911,57,red,35.2,34,4
4911,57,red,131.0,42,12
4911,57,red,144.2,32,12
4309,57,red,119.9,50,16
7627,57,red,85.8,26,18
1318,57,blue,59.3,4,22
4915,57,blue,5.7,10,20
4915,57,blue,110.2,32,18
2928,57,blue,32.2,20,16
2928,57,blue,88.7,48,24
3826,58,red,7.9,44,4
3826,58,red,15.9,40,2
3826,58,red,142.2,28,10
2522,58,red,44.0,36,14
2522,58,red,56.7,42,10
2522,58,red,76.5,36,16
2522,58,red,138.0,24,10
2522,58,red,143.7,26,10
492,58,blue,40.6,20,20
492,58,blue,126.2,28,18
4918,59,red,6.9,44,4
4918,59,red,10.6,40,4
4918,59,red,27.6,44,4
4918,59,red,40.7,32,4
4918,59,red,144.3,32,12
8032,59,red,51.5,54,8
1778,59,red,133.6,44,6
8248,59,blue,3.9,8,14
8248,59,blue,10.0,4,14
8248,59,blue,13.7,0,16
8248,59,blue,17.4,0,14
4131,59,blue,3.8,8,20
4131,59,blue,13.7,0,20
4131,59,blue,71.0,38,22
4131,59,blue,78.6,18,22
