matchNumber,teamNumber,startPosition,preLoadedBalls,auto-bottom port,auto-Outer port,crossedLine,cellsCollected,Bottom Port,Top Port,missed,rotation,colorControl,balanced,parked,climbed,helped,defended,additionalComments
46 ,5588 ,null,true,0,0,false,0,0,1,0,0,false,false,false,false,false,false,  
46 ,492 ,null,true,0,3,true,3,0,2,0,0,false,false,true,false,false,false,  
46 ,2930 ,null,true,0,3,true,0,0,11,0,0,false,false,true,false,false,false,  
46 ,4915 ,null,true,0,3,true,0,0,0,0,0,false,false,true,false,false,true,  
46 ,1294 ,null,true,0,3,true,0,0,0,0,0,false,false,false,false,false,false,  
46 ,2910 ,null,true,0,7,true,3,0,13,0,0,false,false,false,true,false,false,  
47 ,4911 ,null,true,0,4,false,3,0,16,0,0,false,false,false,true,false,false,  
47 ,4681 ,null,true,0,3,false,0,0,2,0,0,false,false,false,true,false,false,  
47 ,2412 ,null,true,0,1,false,0,0,0,0,0,false,false,true,false,false,false,  
47 ,4683 ,null,true,0,0,true,0,2,0,0,0,false,false,false,false,false,false,  
47 ,3826 ,null,true,0,3,true,0,0,0,0,0,false,false,false,true,false,true,  
47 ,3070 ,null,true,1,2,false,0,0,0,0,0,false,false,false,true,false,true,primarily defensive bot for best bot on other team  
48 ,1778 ,null,true,0,3,true,0,0,4,0,0,false,false,false,false,false,false,  
48 ,4205 ,null,true,0,3,true,0,0,2,0,0,false,false,true,false,false,false,  
48 ,4180 ,null,true,0,1,true,0,0,0,0,0,false,false,true,false,false,true,  
48 ,2928 ,null,true,0,1,true,0,0,7,0,0,false,false,true,false,false,false,wasted lot of time driving around  
48 ,4513 ,null,true,0,2,true,0,0,5,0,0,false,false,false,true,false,true,  
48 ,4173 ,null,true,0,0,true,0,0,0,0,0,false,false,true,false,false,false,All they did was try to climb  
49 ,8059 ,null,false,0,0,false,0,0,0,0,0,false,false,false,false,false,false,  
49 ,2976 ,null,true,0,7,true,5,0,5,0,0,false,false,false,true,false,false,  
49 ,1899 ,null,true,0,3,true,0,0,4,0,0,false,false,true,false,false,false,  
49 ,7627 ,null,true,0,0,true,0,2,0,0,0,false,false,true,false,false,true,   
49 ,4512 ,null,true,0,4,true,0,0,10,0,0,false,false,false,false,false,false,has cool lights  
